688,01-24-2012,10,49,22,36,24,33
687,01-20-2012,38,47,28,09,01,08
686,01-17-2012,15,53,31,03,36,27
685,01-13-2012,10,27,28,51,37,19
684,01-10-2012,10,48,38,04,16,34
683,01-06-2012,34,28,09,48,17,46
682,01-03-2012,15,36,02,03,22,23
681,12-30-2011,45,24,52,04,46,01
680,12-27-2011,32,43,23,33,39,08
679,12-23-2011,08,03,05,29,18,14
678,12-20-2011,24,45,51,27,20,31
677,12-16-2011,02,04,39,36,26,27
676,12-13-2011,06,41,26,22,05,06
675,12-09-2011,12,29,49,04,51,44
674,12-06-2011,07,49,21,35,29,39
673,12-02-2011,48,24,51,56,30,45
672,11-29-2011,52,48,29,43,17,36
671,11-25-2011,28,42,22,54,49,43
670,11-22-2011,33,23,04,48,16,38
669,11-18-2011,55,33,04,13,39,03
668,11-15-2011,06,24,33,30,03,21
667,11-11-2011,29,16,50,02,22,27
666,11-08-2011,31,45,54,47,05,04
665,11-04-2011,30,33,26,44,32,01
664,11-01-2011,39,31,46,40,27,36
663,10-28-2011,52,56,49,31,13,41
662,10-25-2011,44,40,46,13,33,08
661,10-21-2011,06,37,35,38,21,17
660,10-18-2011,24,53,25,47,45,42
659,10-14-2011,42,54,45,35,13,26
658,10-11-2011,25,44,34,56,38,27
657,10-07-2011,15,05,38,19,23,19
656,10-04-2011,40,03,26,52,45,11
655,09-30-2011,19,45,21,03,44,29
654,09-27-2011,20,02,36,28,45,37
653,09-23-2011,27,32,52,40,21,36
652,09-20-2011,38,29,51,50,06,39
651,09-16-2011,41,23,45,06,56,24
650,09-13-2011,22,56,48,43,31,45
649,09-09-2011,31,12,23,19,07,45
648,09-06-2011,38,49,01,36,42,19
647,09-02-2011,44,48,55,25,49,20
646,08-30-2011,22,50,02,28,25,18
645,08-26-2011,27,47,30,02,03,36
644,08-23-2011,21,44,49,48,11,23
643,08-19-2011,53,56,54,15,05,22
642,08-16-2011,42,41,43,38,04,44
641,08-12-2011,51,54,55,43,09,13
640,08-09-2011,19,54,45,11,39,15
639,08-05-2011,42,24,28,06,33,19
638,08-02-2011,17,19,14,32,20,28
637,07-29-2011,08,22,47,10,48,35
636,07-26-2011,52,35,55,20,25,10
635,07-22-2011,56,31,39,32,23,38
634,07-19-2011,02,16,09,10,35,40
633,07-15-2011,46,56,16,30,29,06
632,07-12-2011,11,49,44,03,09,09
631,07-08-2011,22,02,01,37,50,45
630,07-05-2011,46,10,13,01,18,19
629,07-01-2011,30,12,47,35,17,26
628,06-28-2011,47,27,12,48,17,33
627,06-24-2011,40,49,14,10,51,04
626,06-21-2011,46,24,25,11,31,17
625,06-17-2011,47,46,29,12,51,24
624,06-14-2011,53,10,20,51,09,24
623,06-10-2011,18,27,38,37,21,07
622,06-07-2011,32,29,35,47,52,13
621,06-03-2011,49,41,53,20,23,31
620,05-31-2011,28,55,31,30,37,13
619,05-27-2011,28,07,05,56,14,10
618,05-24-2011,12,43,09,42,21,42
617,05-20-2011,45,17,48,10,19,30
616,05-17-2011,01,02,25,17,48,45
615,05-13-2011,53,47,39,03,33,09
614,05-10-2011,40,16,11,51,34,34
613,05-06-2011,26,37,41,06,18,09
612,05-03-2011,36,01,16,50,29,16
611,04-29-2011,09,51,33,11,10,29
610,04-26-2011,19,55,32,29,38,15
609,04-22-2011,53,03,18,51,46,17
608,04-19-2011,20,51,32,45,24,43
607,04-15-2011,23,22,48,39,33,29
606,04-12-2011,45,23,10,39,41,15
605,04-08-2011,56,45,06,40,50,11
604,04-05-2011,20,01,31,19,36,09
603,04-01-2011,13,35,53,14,36,19
602,03-29-2011,38,06,23,34,15,43
601,03-25-2011,22,54,24,31,52,04
600,03-22-2011,14,01,53,50,35,43
599,03-18-2011,56,14,54,34,33,37
598,03-15-2011,10,28,12,11,43,45
597,03-11-2011,42,14,45,19,21,06
596,03-08-2011,41,55,19,17,03,24
595,03-04-2011,10,08,15,23,41,07
594,03-01-2011,19,01,12,20,47,25
593,02-25-2011,04,19,17,05,50,07
592,02-22-2011,15,48,23,55,22,31
591,02-18-2011,45,30,05,06,07,42
590,02-15-2011,17,39,35,24,18,18
589,02-11-2011,32,08,34,17,09,13
588,02-08-2011,47,48,35,36,25,18
587,02-04-2011,06,29,55,48,20,06
586,02-01-2011,16,23,35,26,22,31
585,01-28-2011,33,48,50,49,14,18
584,01-25-2011,08,50,31,05,46,04
583,01-21-2011,21,35,05,09,38,20
582,01-18-2011,38,04,27,29,45,05
581,01-14-2011,35,33,17,02,15,08
580,01-11-2011,45,04,16,01,11,37
579,01-07-2011,04,46,22,42,53,20
578,01-04-2011,15,47,04,25,08,42
577,12-31-2010,56,13,12,35,10,09
576,12-28-2010,36,49,18,06,40,07
575,12-24-2010,16,15,52,40,27,16
574,12-21-2010,08,32,31,11,12,29
573,12-17-2010,26,46,11,20,53,12
572,12-14-2010,18,38,25,31,22,29
571,12-10-2010,44,46,23,33,27,36
570,12-07-2010,53,04,45,38,54,09
569,12-03-2010,18,56,06,12,11,12
568,11-30-2010,16,19,53,47,11,02
567,11-26-2010,43,09,34,05,47,08
566,11-23-2010,02,35,06,12,34,33
565,11-19-2010,31,54,14,51,07,35
564,11-16-2010,26,39,46,01,27,21
563,11-12-2010,38,35,28,26,09,10
562,11-09-2010,53,28,26,08,33,11
561,11-05-2010,46,19,34,25,53,15
560,11-02-2010,54,16,01,12,03,46
559,10-29-2010,28,19,39,26,04,14
558,10-26-2010,32,21,31,15,30,26
557,10-22-2010,53,18,07,02,32,18
556,10-19-2010,42,02,09,14,37,41
555,10-15-2010,31,10,09,50,13,10
554,10-12-2010,36,43,31,37,10,15
553,10-08-2010,37,29,48,24,50,19
552,10-05-2010,10,19,44,37,24,27
551,10-01-2010,03,52,28,08,21,43
550,09-28-2010,38,10,02,13,36,18
549,09-24-2010,55,28,38,02,42,25
548,09-21-2010,43,52,47,03,20,26
547,09-17-2010,14,27,18,04,03,13
546,09-14-2010,55,50,06,56,14,01
545,09-10-2010,17,11,23,12,21,20
544,09-07-2010,08,38,18,22,24,23
543,09-03-2010,13,28,20,36,10,09
542,08-31-2010,20,29,10,48,47,38
541,08-27-2010,04,10,26,32,41,31
540,08-24-2010,28,04,23,32,24,31
539,08-20-2010,13,04,20,48,29,36
538,08-17-2010,40,19,11,43,44,33
537,08-13-2010,24,06,43,55,17,36
536,08-10-2010,02,26,50,14,56,12
535,08-06-2010,13,30,07,54,33,30
534,08-03-2010,22,56,13,20,04,32
533,07-30-2010,11,40,48,52,30,42
532,07-27-2010,10,07,16,02,29,08
531,07-23-2010,39,16,49,19,44,26
530,07-20-2010,28,43,12,36,18,19
529,07-16-2010,02,18,20,39,15,34
528,07-13-2010,14,07,11,15,34,14
527,07-09-2010,01,31,33,34,50,41
526,07-06-2010,08,18,45,47,50,36
525,07-02-2010,12,36,01,32,10,25
524,06-29-2010,15,27,37,03,04,35
523,06-25-2010,01,02,27,19,13,21
522,06-22-2010,23,21,17,12,30,24
521,06-18-2010,55,37,36,41,11,07
520,06-15-2010,21,12,13,04,27,46
519,06-11-2010,33,42,06,34,13,25
518,06-08-2010,48,12,54,28,18,06
517,06-04-2010,17,50,12,15,13,23
516,06-01-2010,12,27,51,44,45,30
515,05-28-2010,29,20,39,03,11,26
514,05-25-2010,14,24,05,19,17,25
513,05-21-2010,30,23,15,20,26,17
512,05-18-2010,11,37,13,40,19,26
511,05-14-2010,47,21,56,40,20,12
510,05-11-2010,26,54,43,33,46,09
509,05-07-2010,07,50,02,20,34,40
508,05-04-2010,21,09,36,43,31,08
507,04-30-2010,41,14,20,47,53,40
506,04-27-2010,50,41,37,23,55,06
505,04-23-2010,52,26,28,37,19,18
504,04-20-2010,10,34,08,05,42,25
503,04-16-2010,48,50,10,31,16,44
502,04-13-2010,47,39,12,03,27,32
501,04-09-2010,39,15,18,48,53,03
500,04-06-2010,52,43,16,44,56,26
499,04-02-2010,22,02,30,31,17,19
498,03-30-2010,11,24,44,38,01,41
497,03-26-2010,47,46,23,52,41,22
496,03-23-2010,03,25,40,29,28,13
495,03-19-2010,50,31,10,45,54,25
494,03-16-2010,48,22,56,52,03,13
493,03-12-2010,53,02,48,25,15,41
492,03-09-2010,18,19,16,29,14,16
491,03-05-2010,11,34,44,31,52,32
490,03-02-2010,48,47,09,12,56,25
489,02-26-2010,54,56,14,04,29,40
488,02-23-2010,40,04,16,53,36,18
487,02-19-2010,42,46,39,01,22,36
486,02-16-2010,45,12,21,29,11,05
485,02-12-2010,17,47,16,14,33,23
484,02-09-2010,48,17,26,02,20,12
483,02-05-2010,10,53,20,51,45,41
482,02-02-2010,06,49,07,27,26,09
481,01-29-2010,23,01,38,22,10,19
480,01-26-2010,38,07,39,08,48,22
479,01-22-2010,27,52,13,08,28,09
478,01-19-2010,34,41,04,05,38,18
477,01-15-2010,07,19,04,38,21,29
476,01-12-2010,31,56,09,05,37,16
475,01-08-2010,36,18,31,43,20,33
474,01-05-2010,28,50,13,39,55,10
473,01-01-2010,27,06,41,08,40,21
472,12-29-2009,02,35,05,29,51,03
471,12-25-2009,52,04,44,16,54,20
470,12-22-2009,39,35,45,03,33,13
469,12-18-2009,44,49,30,20,10,24
468,12-15-2009,32,27,31,36,47,35
467,12-11-2009,34,21,27,02,44,45
466,12-08-2009,28,30,20,46,23,29
465,12-04-2009,51,41,33,04,56,38
464,12-01-2009,53,17,52,39,30,21
463,11-27-2009,12,25,39,45,37,11
462,11-24-2009,37,35,50,10,11,12
461,11-20-2009,03,04,56,07,16,39
460,11-17-2009,22,50,08,49,27,28
459,11-13-2009,54,43,49,45,27,44
458,11-10-2009,37,34,29,21,08,15
457,11-06-2009,40,11,46,07,27,08
456,11-03-2009,23,38,31,05,18,20
455,10-30-2009,15,38,04,29,17,20
454,10-27-2009,46,07,13,51,37,02
453,10-23-2009,54,48,45,56,27,02
452,10-20-2009,45,17,55,25,13,08
451,10-16-2009,51,10,13,18,33,43
450,10-13-2009,17,51,45,34,31,24
449,10-09-2009,21,14,51,24,03,14
448,10-06-2009,56,09,51,53,33,39
447,10-02-2009,53,55,15,51,24,11
446,09-29-2009,45,21,50,25,02,21
445,09-25-2009,27,07,52,49,42,19
444,09-22-2009,29,26,33,46,39,24
443,09-18-2009,31,52,18,27,36,33
442,09-15-2009,29,35,41,30,32,39
441,09-11-2009,48,27,54,16,49,02
440,09-08-2009,18,04,10,50,28,35
439,09-04-2009,44,06,04,21,02,37
438,09-01-2009,02,28,53,51,09,19
437,08-28-2009,37,01,17,31,54,31
436,08-25-2009,40,19,22,03,12,02
435,08-21-2009,49,09,44,38,48,13
434,08-18-2009,05,56,37,26,04,25
433,08-14-2009,35,25,08,22,33,46
432,08-11-2009,06,12,15,42,32,40
431,08-07-2009,07,35,45,18,56,03
430,08-04-2009,28,01,50,42,34,27
429,07-31-2009,56,35,44,17,52,22
428,07-28-2009,48,04,17,24,25,34
427,07-24-2009,06,51,03,43,52,36
426,07-21-2009,50,08,21,03,52,02
425,07-17-2009,47,17,50,40,08,13
424,07-14-2009,20,35,53,45,29,41
423,07-10-2009,10,05,26,27,28,04
